Feature Type,Dataset,Average,Standard error,
FusedHGTG,Zheng,0.9795,0.0011,
FusedHGTG,Luo,0.9979,0.0013,
FusedHGTG,NR,0.9976,0.0014,
FusedHGTG,GPCR,0.9902,0.0056,
FusedHGTG,IC,0.9928,0.0019,
FusedHGTG,Enzymes,1,0.0009,
FusedHGTG,All,0.993,0.0091,
Emb,Zheng,0.97934,0.001,
Emb,Luo,0.99788,0.0014,
Emb,NR,0.99776,0.00135,
Emb,GPCR,0.98922,0.00556, 
Emb,IC,0.99036,0.00192,
Emb,Enzymes,1,0.0009,
Emb,All,0.9924,0.0105,
HGdti,Zheng,0.97554,0.0011,
HGdti,Luo,0.99674,0.00135,
HGdti,NR,0.99698,0.0014,
HGdti,GPCR,0.98886,0.006,
HGdti,IC,0.99258,0.0021,
HGdti,Enzymes,1,0.0014,
HGdti,All,0.9918 ,0.0095,
HGdtr,Zheng,0.9757,0.001,
HGdtr,Luo,0.99602,0.00138,
HGdtr,NR,0.9968,0.00142,
HGdtr,GPCR,0.98856,0.0058,
HGdtr,IC,0.9924,0.00197,
HGdtr,Enzymes,0.99938,0.0015,
HGdtr,All,0.9915,0.00088,
HGTG,Zheng,0.9739,0.0015,
HGTG,Luo,0.9959,0.00148,
HGTG,NR,0.9977,0.00145,
HGTG,GPCR,0.9875,0.005,
HGTG,IC,0.9932,0.00185,
HGTG,Enzymes,0.9982,0.0015,
HGTG,All,0.9911,0.009,
